mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000009,2022-04-28T05:05:52.000Z,0,0.1557,0.5868,9.9323,Infinity,Infinity,Infinity
,,737.5,0.0335,0.0766,0.0503,0.0072,0.0165,0.0109
,,740.625,0.2443,0.091,0.1389,0.0525,0.0196,0.0298
,,743.75,0.1509,0.1772,0.1916,0.0323,0.0379,0.041
,,746.875,0.1221,0.0335,0.1413,0.026,0.0071,0.0301
,,750,NaN,0.0168,0.1437,NaN,0.0036,0.0305
,,753.125,NaN,0.0527,0.0958,NaN,0.0111,0.0202
,,756.25,NaN,0.079,0.0479,NaN,0.0166,0.0101
,,759.375,NaN,0.103,0.1916,NaN,0.0216,0.0402
,,762.5,NaN,0.0766,0.3161,NaN,0.016,0.066
,,765.625,NaN,0.1126,0.091,NaN,0.0234,0.0189
,,768.75,NaN,0.2012,0.1365,NaN,0.0417,0.0283
,,771.875,NaN,0.1102,0.103,NaN,0.0227,0.0212
,,775,NaN,0.0503,0.0144,NaN,0.0103,0.003
,,778.125,NaN,0.0695,0.0479,NaN,0.0142,0.0098
,,781.25,NaN,0.0958,0.2179,NaN,0.0195,0.0444
,,784.375,NaN,0.1102,0.1317,NaN,0.0224,0.0267
,,787.5,NaN,0.0982,0.1509,NaN,0.0198,0.0305
,,790.625,NaN,0.0766,0.091,NaN,0.0154,0.0183
,,793.75,NaN,0.1485,0.1964,NaN,0.0298,0.0394
,,796.875,NaN,0.0383,0.0695,NaN,0.0076,0.0139
,,800,NaN,0.0263,0.1413,NaN,0.0052,0.0281
,,803.125,NaN,0.0575,0.0599,NaN,0.0114,0.0119
,,806.25,NaN,0.0192,0.0623,NaN,0.0038,0.0123
,,809.375,NaN,0.2108,0.1772,NaN,0.0415,0.0348
,,812.5,NaN,0.0527,0.1054,NaN,0.0103,0.0206
,,815.625,NaN,0.0958,0.0311,NaN,0.0187,0.0061
,,818.75,NaN,0.1437,0.1198,NaN,0.0279,0.0233
,,821.875,0.0311,0.0814,0.0144,0.006,0.0158,0.0028
,,825,0.17,0.0551,0.1557,0.0328,0.0106,0.03
,,828.125,0.1054,0.0838,0.0934,0.0203,0.0161,0.018
,,831.25,0.0695,0.1892,0.0383,0.0133,0.0362,0.0073
,,834.375,0.1293,0.0527,0.0742,0.0247,0.0101,0.0142
,,837.5,0.1916,0.1006,0.0407,0.0364,0.0191,0.0077
,,840.625,0.103,0.0982,0.0551,0.0195,0.0186,0.0104
,,843.75,0.0862,0.091,0.1006,0.0163,0.0172,0.019
,,846.875,0.1365,0.2371,0.0144,0.0257,0.0446,0.0027
