mac,time,freq,fftAccX,fftAccY,fftAccZ,fftVelocX,fftVelocY,fftVelocZ,
454822000006,2022-04-13T17:43:38.000Z,0,0.6275,0.8383,10.4568,Infinity,Infinity,Infinity
,,371.875,0.3377,0.2515,0.0862,0.1445,0.1076,0.0369
,,373.4375,0.0647,0.1317,0.0072,0.0276,0.0561,0.0031
,,375,NaN,0.0335,0.0766,NaN,0.0142,0.0325
,,376.5625,NaN,0.1533,0.0623,NaN,0.0648,0.0263
,,378.125,NaN,0.182,0.091,NaN,0.0766,0.0383
,,379.6875,NaN,0.1677,0.0814,NaN,0.0703,0.0341
,,381.25,NaN,0.0527,0.024,NaN,0.022,0.01
,,382.8125,NaN,0.0886,0.0072,NaN,0.0368,0.003
,,384.375,NaN,0.024,0.0383,NaN,0.0099,0.0159
,,385.9375,NaN,0.1437,0.0575,NaN,0.0593,0.0237
,,387.5,NaN,0.0814,0.0575,NaN,0.0334,0.0236
,,389.0625,NaN,0.0623,0.0431,NaN,0.0255,0.0176
,,390.625,NaN,0.0359,0.0263,NaN,0.0146,0.0107
,,392.1875,0,0.1126,0.0551,0,0.0457,0.0224
,,393.75,0.0311,0.0311,0.0072,0.0126,0.0126,0.0029
,,395.3125,0.273,0.2802,0.079,0.1099,0.1128,0.0318
,,396.875,0.2682,0.3712,0.0862,0.1076,0.1489,0.0346
,,398.4375,0.0503,0.0671,0.012,0.0201,0.0268,0.0048
,,400,0.0671,0.0742,0.0168,0.0267,0.0295,0.0067
,,401.5625,0.0886,0.1437,0.0671,0.0351,0.057,0.0266
,,403.125,0.0431,0.0551,0.0335,0.017,0.0218,0.0132
,,404.6875,0.3138,0.1365,0.079,0.1234,0.0537,0.0311
,,406.25,0.0862,0.0958,0.0479,0.0338,0.0375,0.0188
,,407.8125,0.0982,0.0982,0.0335,0.0383,0.0383,0.0131
,,409.375,0.0072,0.0575,0.0383,0.0028,0.0224,0.0149
,,410.9375,0.0048,0.0575,0.0144,0.0019,0.0223,0.0056
,,412.5,0.479,0.3832,0.1892,0.1848,0.1479,0.073
,,414.0625,0.0719,0.0671,0.0671,0.0276,0.0258,0.0258
,,415.625,0.0383,0.091,0.0335,0.0147,0.0348,0.0128
,,417.1875,0.079,0.0647,0.0479,0.0301,0.0247,0.0183
,,418.75,0.0766,0.0431,0.0359,0.0291,0.0164,0.0136
,,420.3125,0.0503,0.1485,0.0623,0.019,0.0562,0.0236
,,421.875,0.0814,0.0814,0.0168,0.0307,0.0307,0.0063
,,423.4375,0.1772,0.1389,0.024,0.0666,0.0522,0.009
,,425,0.0695,0.0359,0.0575,0.026,0.0134,0.0215
,,426.5625,0.103,0.0479,0.0144,0.0384,0.0179,0.0054
,,428.125,0.115,0.0359,0.0527,0.0428,0.0133,0.0196
,,429.6875,0.1892,0.0886,0.079,0.0701,0.0328,0.0293
,,431.25,0.1964,0.1581,0.1006,0.0725,0.0583,0.0371
,,432.8125,0.1509,0.1341,0.1341,0.0555,0.0493,0.0493
,,434.375,0.1245,0.0719,0.0359,0.0456,0.0263,0.0132
,,435.9375,0.0479,0.0192,0.0551,0.0175,0.007,0.0201
,,437.5,0.0982,0.0527,0.091,0.0357,0.0192,0.0331
,,439.0625,0.1557,0.1796,0.1509,0.0564,0.0651,0.0547
,,440.625,0.1341,0.1078,0.103,0.0484,0.0389,0.0372
,,442.1875,0.0862,0.0168,0.0623,0.031,0.006,0.0224
,,443.75,0.0742,0.0862,0.0359,0.0266,0.0309,0.0129
,,445.3125,0.1245,0.1102,0.1796,0.0445,0.0394,0.0642
,,446.875,0.0503,0.0216,0.1293,0.0179,0.0077,0.0461
,,448.4375,0.0479,0.0168,0.1485,0.017,0.006,0.0527
,,450,0.0359,0.0144,0.091,0.0127,0.0051,0.0322
,,451.5625,0.0934,0.0695,0.0551,0.0329,0.0245,0.0194
,,453.125,0.0551,0.0742,0.0431,0.0194,0.0261,0.0151
,,454.6875,0.0383,0.0287,0.103,0.0134,0.01,0.0361
,,456.25,0.0072,0.0431,0.1293,0.0025,0.015,0.0451
,,457.8125,0.0407,0.0335,0.024,0.0141,0.0116,0.0083
,,459.375,0.0168,0.0287,0.1269,0.0058,0.0099,0.044
,,460.9375,0.0671,0.0599,0.0383,0.0232,0.0207,0.0132
,,462.5,0.0168,0.0287,0.0647,0.0058,0.0099,0.0223
,,464.0625,0.1006,0.1293,0.1509,0.0345,0.0443,0.0518
,,465.625,0.012,0.012,0.0311,0.0041,0.0041,0.0106
,,467.1875,0.091,0.0431,0.091,0.031,0.0147,0.031
,,468.75,0.0527,0.024,0.079,0.0179,0.0081,0.0268
,,470.3125,0.0527,0.0814,0.0216,0.0178,0.0275,0.0073
,,471.875,0.0719,0.1126,0.1006,0.0243,0.038,0.0339
,,473.4375,0.0216,0.0192,0.0479,0.0073,0.0065,0.0161
,,475,0.0479,0.0216,0.0695,0.016,0.0072,0.0233
,,476.5625,0.0599,0.0671,0.0838,0.02,0.0224,0.028
,,478.125,0.0263,0.0335,0.0359,0.0088,0.0112,0.012
,,479.6875,0.115,0.1509,0.0719,0.0382,0.0501,0.0239
,,481.25,0.0814,0.1581,0.0263,0.0269,0.0523,0.0087
,,482.8125,0.0838,0.0886,0.0431,0.0276,0.0292,0.0142
,,484.375,0.0335,0.024,0.079,0.011,0.0079,0.026
,,485.9375,0.0431,0.0766,0.0335,0.0141,0.0251,0.011
,,487.5,0.0335,0.0647,0.024,0.0109,0.0211,0.0078
,,489.0625,0.0335,0.0695,0.1054,0.0109,0.0226,0.0343
,,490.625,0.012,0.0263,0.0742,0.0039,0.0085,0.0241
,,492.1875,0.0551,0.0168,0.0695,0.0178,0.0054,0.0225
,,493.75,0.0287,0.0335,0.0623,0.0093,0.0108,0.0201
,,495.3125,0.012,0.0383,0.0192,0.0039,0.0123,0.0062
,,496.875,0.0551,0.1198,0.0838,0.0176,0.0384,0.0268
,,498.4375,0.0503,0.024,0.0575,0.0161,0.0077,0.0184
,,500,0.0192,0.0168,0.0527,0.0061,0.0053,0.0168
,,501.5625,0.0335,0.024,0.0335,0.0106,0.0076,0.0106
,,503.125,0.0383,0.0144,0.0551,0.0121,0.0046,0.0174
,,504.6875,0.0144,0.0311,0.0287,0.0045,0.0098,0.0091
,,506.25,0.0192,0.0527,0.0431,0.006,0.0166,0.0135
,,507.8125,0.0311,0.0551,0.0814,0.0097,0.0173,0.0255
,,509.375,0.0144,0.0359,0.0766,0.0045,0.0112,0.0239
,,510.9375,0.0407,0.0862,0.0072,0.0127,0.0269,0.0022
,,512.5,0.012,0.012,0.0383,0.0037,0.0037,0.0119
,,514.0625,0.0479,0.0575,0.0263,0.0148,0.0178,0.0081
,,515.625,0.0695,0.1317,0.0862,0.0215,0.0407,0.0266
,,517.1875,0.0527,0.091,0.0862,0.0162,0.028,0.0265
,,518.75,0.0048,0.0359,0.0503,0.0015,0.011,0.0154
,,520.3125,0.0431,0.0335,0.0814,0.0132,0.0102,0.0249
,,521.875,0.0623,0.1221,0.1006,0.019,0.0372,0.0307
,,523.4375,0.0647,0.0766,0.0144,0.0197,0.0233,0.0044
,,525,0.0335,0.0144,0.0216,0.0102,0.0044,0.0065
,,526.5625,0.0503,0.0144,0.0287,0.0152,0.0044,0.0087
,,528.125,0.0144,0.0671,0.0287,0.0043,0.0202,0.0086
,,529.6875,0.0287,0.024,0.0359,0.0086,0.0072,0.0108
,,531.25,0.0263,0.0455,0.0503,0.0079,0.0136,0.0151
,,532.8125,0.0144,0.0335,NaN,0.0043,0.01,NaN
,,534.375,0.012,0.0311,NaN,0.0036,0.0093,NaN
,,535.9375,0.0144,0.0431,NaN,0.0043,0.0128,NaN
,,537.5,0.0168,0.0359,NaN,0.005,0.0106,NaN
,,539.0625,0.0431,0.0144,NaN,0.0127,0.0043,NaN
,,540.625,0.0527,0.0407,NaN,0.0155,0.012,NaN
,,542.1875,0.0527,0.0263,NaN,0.0155,0.0077,NaN
,,543.75,0.0287,0.0192,NaN,0.0084,0.0056,NaN
,,545.3125,0.0431,0.0048,NaN,0.0126,0.0014,NaN
,,546.875,0.0527,0.0359,NaN,0.0153,0.0104,NaN
,,548.4375,0.1293,0.0814,NaN,0.0375,0.0236,NaN
,,550,0.024,0.0216,0,0.0069,0.0063,0
,,551.5625,0.0623,0.0383,0.0719,0.018,0.0111,0.0207
,,553.125,0.0359,0.0335,0.0527,0.0103,0.0096,0.0152
,,554.6875,0.0383,0.0383,0.0335,0.011,0.011,0.0096
,,556.25,0.0766,0.0623,0.0958,0.0219,0.0178,0.0274
,,557.8125,0.0072,0.0072,0.0144,0.0021,0.0021,0.0041
,,559.375,0.0551,0.0431,0.0575,0.0157,0.0123,0.0164
,,560.9375,0.0623,0.024,0.0719,0.0177,0.0068,0.0204
,,562.5,0.0216,0.0072,0.0335,0.0061,0.002,0.0095
,,564.0625,0.079,0.0335,0.091,0.0223,0.0095,0.0257
,,565.625,0.0263,0.0072,0.0671,0.0074,0.002,0.0189
,,567.1875,0.0742,0.0671,0.091,0.0208,0.0188,0.0255
,,568.75,0.0527,0.0383,0.1006,0.0147,0.0107,0.0282
,,570.3125,0.0168,0.0335,0.0383,0.0047,0.0093,0.0107
,,571.875,0.0359,0.0168,0.0311,0.01,0.0047,0.0087
,,573.4375,0.024,0.0599,0.1054,0.0067,0.0166,0.0293
,,575,0.0527,0.0599,0.1126,0.0146,0.0166,0.0312
,,576.5625,0.0742,0.0383,0.1174,0.0205,0.0106,0.0324
,,578.125,0.0216,0.0192,0.0671,0.0059,0.0053,0.0185
,,579.6875,0.024,0.0287,0.0144,0.0066,0.0079,0.004
,,581.25,0.0216,0.0168,0.1269,0.0059,0.0046,0.0347
,,582.8125,0.0407,0.024,0.0742,0.0111,0.0066,0.0203
,,584.375,0.0216,0.0263,0.0551,0.0059,0.0072,0.015
,,585.9375,0.0216,0.0144,0.0359,0.0059,0.0039,0.0098
,,587.5,0.0144,0.0168,0.0216,0.0039,0.0046,0.0059
,,589.0625,0.0216,0.0192,0.0814,0.0058,0.0052,0.022
,,590.625,0.0216,0.0072,0.0287,0.0058,0.0019,0.0077
,,592.1875,0.0168,0.0048,0.091,0.0045,0.0013,0.0245
,,593.75,0.0144,0.0168,0.024,0.0039,0.0045,0.0064
,,595.3125,0.0335,0.0359,0.0742,0.009,0.0096,0.0198
,,596.875,0.0311,0.0263,0.0431,0.0083,0.007,0.0115
,,598.4375,0.012,0.012,0.0144,0.0032,0.0032,0.0038
,,600,0.024,0.0216,0.091,0.0064,0.0057,0.0241
,,601.5625,0.024,0.0263,0.0431,0.0063,0.007,0.0114
,,603.125,0.0216,0.0216,0.0335,0.0057,0.0057,0.0088
