mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,409.375,0.0862,0.0862,0.1413,0.0335,0.0335,0.0549
,,412.5,0.1964,0.079,0.0335,0.0758,0.0305,0.0129
,,415.625,0.2659,0.3784,0.0671,0.1018,0.1449,0.0257
,,418.75,0.2491,0.0766,0.0958,0.0947,0.0291,0.0364
,,421.875,0.2323,0.1796,0.0982,0.0876,0.0678,0.037
,,425,0.1724,0.1006,0.1245,0.0646,0.0377,0.0466
,,428.125,0.2994,0.1006,0.0263,0.1113,0.0374,0.0098
,,431.25,0.2347,0.115,0.0359,0.0866,0.0424,0.0132
,,434.375,0.273,0.2251,0.0359,0.1,0.0825,0.0132
,,437.5,0.2778,0.2132,0.2203,0.1011,0.0776,0.0801
,,440.625,0.2036,0.0311,0.1461,0.0735,0.0112,0.0528
,,443.75,0.3114,0.0551,0.1724,0.1117,0.0198,0.0618
,,446.875,0.1653,0.2108,0.182,0.0589,0.0751,0.0648
,,450,0.0958,0.2251,0.1102,0.0339,0.0796,0.039
,,453.125,0.182,0.0575,0.206,0.0639,0.0202,0.0724
,,456.25,0.2443,0.1078,0.1461,0.0852,0.0376,0.051
,,459.375,0.2563,0.1078,0.0479,0.0888,0.0373,0.0166
,,462.5,0.0982,0.1365,0.1437,0.0338,0.047,0.0494
,,465.625,0.388,0.2179,0.0575,0.1326,0.0745,0.0197
,,468.75,0.2108,0.0934,0.1677,0.0716,0.0317,0.0569
,,471.875,0.1389,0.1748,0.1174,0.0468,0.059,0.0396
,,475,0.0814,0.2084,0.17,0.0273,0.0698,0.057
,,478.125,0.182,0.2611,0.1629,0.0606,0.0869,0.0542
,,481.25,0.115,0.3353,0.0623,0.038,0.1109,0.0206
,,484.375,0.1988,0.297,0.0479,0.0653,0.0976,0.0157
,,487.5,0.115,0.0838,0.091,0.0375,0.0274,0.0297
,,490.625,0.0551,0.1796,0.0168,0.0179,0.0583,0.0054
,,493.75,0.012,0.206,0.0814,0.0039,0.0664,0.0262
,,496.875,0.0575,0.4072,0.1844,0.0184,0.1304,0.0591
,,500,0.0623,0.2946,0.1413,0.0198,0.0938,0.045
,,503.125,0.0934,0.103,0.0551,0.0295,0.0326,0.0174
,,506.25,0.0527,0.2084,0.1557,0.0166,0.0655,0.0489
,,509.375,0.0263,0.2036,0.0742,0.0082,0.0636,0.0232
,,512.5,0.0263,0.2156,0.0623,0.0082,0.067,0.0193
,,515.625,0.1557,0.079,0.0814,0.0481,0.0244,0.0251
,,518.75,0.1413,0.1964,0.0719,0.0434,0.0603,0.0221
,,521.875,0.1293,0.2539,0.1653,0.0394,0.0774,0.0504
,,525,0.0575,0.1892,0.2036,0.0174,0.0574,0.0617
,,528.125,0.1341,0.2754,0.0527,0.0404,0.083,0.0159
,,531.25,0.0671,0.1293,0.0766,0.0201,0.0387,0.0229
,,534.375,0.1054,0.3904,0.0144,0.0314,0.1163,0.0043
,,537.5,0.1509,0.3305,0.115,0.0447,0.0979,0.0341
,,540.625,0.1221,0.0958,0.1509,0.0359,0.0282,0.0444
,,543.75,0.1724,0.1533,0.0719,0.0505,0.0449,0.021
,,546.875,0.0335,0.2227,0.1389,0.0097,0.0648,0.0404
,,550,0.1245,0.1509,0.1796,0.036,0.0437,0.052
,,553.125,0.0814,0.182,0.0144,0.0234,0.0524,0.0041
,,556.25,0.1317,0.2659,0.0742,0.0377,0.0761,0.0212
,,559.375,0.1653,0.2012,0.0479,0.047,0.0572,0.0136
,,562.5,0.1102,0.1413,0.0599,0.0312,0.04,0.0169
,,565.625,0.0527,0.103,0.0742,0.0148,0.029,0.0209
