mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,181.25,NaN,0.1317,0.1341,NaN,0.1156,0.1178
,,182.8125,NaN,0.0479,0.0407,NaN,0.0417,0.0354
,,184.375,NaN,0.1557,0.1581,NaN,0.1344,0.1365
,,185.9375,NaN,0.115,0.079,NaN,0.0984,0.0676
,,187.5,NaN,0.0623,0.0383,NaN,0.0529,0.0325
,,189.0625,NaN,0.0551,0.091,NaN,0.0464,0.0766
,,190.625,NaN,0.012,0.1293,NaN,0.01,0.108
,,192.1875,NaN,0.1054,0.1317,NaN,0.0873,0.1091
,,193.75,NaN,0.0814,0.0647,NaN,0.0669,0.0531
,,195.3125,0.0479,0.0647,0.0479,0.039,0.0527,0.039
,,196.875,0.0742,0.2012,0.0982,0.06,0.1627,0.0794
,,198.4375,0.0814,0.0527,0.0575,0.0653,0.0423,0.0461
,,200,0.0838,0.0958,0.0168,0.0667,0.0762,0.0134
,,201.5625,0.0144,0.1174,0.0407,0.0114,0.0927,0.0321
,,203.125,0.0072,0.0671,0.0575,0.0056,0.0526,0.0451
,,204.6875,0.0455,0.1485,0.1006,0.0354,0.1155,0.0782
,,206.25,0.0958,0.115,0.0575,0.0739,0.0887,0.0444
,,207.8125,0.0431,0.0168,0.079,0.033,0.0129,0.0605
,,209.375,0.0263,0.0383,0.0359,0.02,0.0291,0.0273
,,210.9375,0.0431,0.0934,0.0431,0.0325,0.0705,0.0325
,,212.5,0.0431,0.1221,0.1317,0.0323,0.0914,0.0986
,,214.0625,0.0407,0.0072,0.0623,0.0303,0.0054,0.0463
,,215.625,0.0263,0.1724,0.0072,0.0194,0.1273,0.0053
,,217.1875,0.079,0.0192,0.0359,0.0579,0.0141,0.0263
,,218.75,0.0144,0.1269,0.0263,0.0105,0.0923,0.0191
,,220.3125,0.0335,0.0359,0.0671,0.0242,0.0259,0.0485
,,221.875,0.0192,0.0742,0.0527,0.0138,0.0532,0.0378
,,223.4375,0.0144,0.1006,0.091,0.0103,0.0717,0.0648
,,225,0,0.1102,0.0311,0,0.078,0.022
,,226.5625,0.0575,0.2036,0.0503,0.0404,0.143,0.0353
,,228.125,0.0407,0.2275,0.0599,0.0284,0.1587,0.0418
,,229.6875,0.0263,0.115,0.0144,0.0182,0.0797,0.01
,,231.25,NaN,0.091,0.1006,NaN,0.0626,0.0692
,,232.8125,NaN,0.0455,0.0407,NaN,0.0311,0.0278
,,234.375,NaN,0.0383,0.0335,NaN,0.026,0.0227
,,235.9375,NaN,0.0862,0.0335,NaN,0.0581,0.0226
,,237.5,NaN,0.0407,0.0862,NaN,0.0273,0.0578
,,239.0625,NaN,0.0072,0.0862,NaN,0.0048,0.0574
,,240.625,NaN,0.0407,0.0647,NaN,0.0269,0.0428
,,242.1875,NaN,0.0479,0.0719,NaN,0.0315,0.0472
,,243.75,NaN,0.1102,0.115,NaN,0.072,0.0751
,,245.3125,NaN,0.0742,0.0934,NaN,0.0481,0.0606
,,246.875,NaN,0.0311,0.012,NaN,0.02,0.0077
