mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-07T03:09:01.000Z,0,0.1269,2.8477,9.7024,Infinity,Infinity,Infinity
,,562.5,0.1772,0.3114,0.1293,0.0501,0.0881,0.0366
,,565.625,0.0072,0.2419,0.0742,0.002,0.0681,0.0209
,,568.75,0.0431,0.2706,0.0431,0.0121,0.0757,0.0121
,,571.875,0.0263,0.3664,0.1629,0.0073,0.102,0.0453
,,575,0.1485,0.024,0.079,0.0411,0.0066,0.0219
,,578.125,0.1437,0.3545,0.1892,0.0396,0.0976,0.0521
,,581.25,0.0407,0.2515,0.0623,0.0111,0.0689,0.0171
,,584.375,0.1461,0.1988,0.115,0.0398,0.0541,0.0313
,,587.5,0.2179,0.0814,0.0982,0.059,0.0221,0.0266
,,590.625,0.1461,0.2754,0.0958,0.0394,0.0742,0.0258
,,593.75,0.1198,0.4934,0.2419,0.0321,0.1323,0.0648
,,596.875,0.103,0.3257,0.1198,0.0275,0.0868,0.0319
,,600,0.0431,0.115,0.0144,0.0114,0.0305,0.0038
,,603.125,0.1054,0.3784,0.1006,0.0278,0.0999,0.0265
,,606.25,0.1293,0.0407,0.0551,0.0339,0.0107,0.0145
,,609.375,0.0551,0.2084,0.1533,0.0144,0.0544,0.04
,,612.5,0.0144,0.1269,0.1892,0.0037,0.033,0.0492
,,615.625,0.0072,0.1174,0.1533,0.0019,0.0304,0.0396
,,618.75,0.1078,0.1006,0.2275,0.0277,0.0259,0.0585
,,621.875,0.0886,0.1006,0.0766,0.0227,0.0257,0.0196
,,625,0.1054,0.1054,0.388,0.0268,0.0268,0.0988
,,628.125,0.1245,0.091,0.012,0.0315,0.0231,0.003
,,631.25,0.0335,0.0455,0.103,0.0084,0.0115,0.026
,,634.375,0.1844,0.115,0.2635,0.0463,0.0289,0.0661
,,637.5,0.0671,0.1677,0.194,0.0168,0.0419,0.0484
,,640.625,0.1126,0.103,0.1461,0.028,0.0256,0.0363
,,643.75,0.0671,0.0216,0.1389,0.0166,0.0053,0.0343
,,646.875,0.1006,0.079,0.0599,0.0248,0.0194,0.0147
,,650,0.1102,0.0742,0.115,0.027,0.0182,0.0282
,,653.125,0.0695,0.0311,0.0958,0.0169,0.0076,0.0233
,,656.25,0.1509,0.0766,0.1892,0.0366,0.0186,0.0459
