mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000005,2022-05-07T04:17:18.000Z,0,0.4359,4.0045,NaN,Infinity,Infinity,NaN
,,1196.875,0.0551,NaN,NaN,0.0073,NaN,NaN
,,1200,0.0671,NaN,NaN,0.0089,NaN,NaN
,,1203.125,0.024,NaN,NaN,0.0032,NaN,NaN
,,1206.25,0.0551,NaN,NaN,0.0073,NaN,NaN
,,1209.375,0.0742,NaN,0.1653,0.0098,NaN,0.0218
,,1212.5,0.0144,NaN,0.0551,0.0019,NaN,0.0072
,,1215.625,0.0719,NaN,0.0527,0.0094,NaN,0.0069
,,1218.75,0.024,NaN,0.0168,0.0031,NaN,0.0022
,,1221.875,0.0263,NaN,0.0359,0.0034,NaN,0.0047
,,1225,0.0192,NaN,0.0719,0.0025,NaN,0.0093
,,1228.125,0.0407,NaN,0.0551,0.0053,NaN,0.0071
,,1231.25,0.024,0.0287,0.0383,0.0031,0.0037,0.005
,,1234.375,0.024,0.0311,0.0144,0.0031,0.004,0.0019
,,1237.5,0.0742,0.0168,0.0862,0.0095,0.0022,0.0111
,,1240.625,0.0359,0.0335,0.0551,0.0046,0.0043,0.0071
,,1243.75,0.0072,0.0287,0.012,0.0009,0.0037,0.0015
,,1246.875,0.0407,0.0287,0.0838,0.0052,0.0037,0.0107
,,1250,0.079,0.0072,0.0982,0.0101,0.0009,0.0125
,,1253.125,NaN,0.0599,0.0431,NaN,0.0076,0.0055
,,1256.25,NaN,0.0383,0.0383,NaN,0.0049,0.0049
,,1259.375,NaN,0.0168,0.0359,NaN,0.0021,0.0045
,,1262.5,NaN,0.0431,0.0072,NaN,0.0054,0.0009
,,1265.625,NaN,0.0407,0.0263,NaN,0.0051,0.0033
,,1268.75,NaN,0.0144,0.0527,NaN,0.0018,0.0066
,,1271.875,NaN,0.0479,0.0719,NaN,0.006,0.009
,,1275,NaN,0.0072,0.0551,NaN,0.0009,0.0069
,,1278.125,NaN,0.012,0.0263,NaN,0.0015,0.0033
,,1281.25,NaN,0.0168,0.024,NaN,0.0021,0.003
,,1284.375,NaN,0.0383,0.0479,NaN,0.0047,0.0059
,,1287.5,NaN,0.0216,0.0671,NaN,0.0027,0.0083
,,1290.625,NaN,0.0359,0.0455,NaN,0.0044,0.0056
,,1293.75,NaN,0.024,0.0216,NaN,0.003,0.0027
