mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,765.625,NaN,0.1581,0.0623,NaN,0.0329,0.013
,,768.75,NaN,0.1677,0.0695,NaN,0.0347,0.0144
,,771.875,NaN,0.091,0.0742,NaN,0.0188,0.0153
,,775,NaN,0.0263,0.0671,NaN,0.0054,0.0138
,,778.125,NaN,0.1293,0.0192,NaN,0.0264,0.0039
,,781.25,NaN,0.0934,0.1174,NaN,0.019,0.0239
,,784.375,0,0.1509,0.0335,0,0.0306,0.0068
,,787.5,0.0503,0.1605,0.0886,0.0102,0.0324,0.0179
,,790.625,0.0551,0.091,0.0072,0.0111,0.0183,0.0014
,,793.75,0.0551,0.1174,0.0383,0.011,0.0235,0.0077
,,796.875,0.0647,0.0934,0.0335,0.0129,0.0187,0.0067
,,800,0.1174,0.0647,0.1509,0.0234,0.0129,0.03
,,803.125,0.1006,0.0742,0.024,0.0199,0.0147,0.0048
,,806.25,0.0431,0.0551,0.0192,0.0085,0.0109,0.0038
,,809.375,0.0144,0.103,0.0359,0.0028,0.0203,0.0071
,,812.5,0.1605,0.0958,0.0192,0.0314,0.0188,0.0038
,,815.625,0.0359,0.0623,0.0359,0.007,0.0122,0.007
,,818.75,0.0838,0.0742,0.0551,0.0163,0.0144,0.0107
,,821.875,0.091,0.0958,0.1509,0.0176,0.0186,0.0292
,,825,0.0048,0.0479,0.0814,0.0009,0.0092,0.0157
,,828.125,0.1078,0.1317,0.0575,0.0207,0.0253,0.0111
,,831.25,0.0072,0.0599,0.1054,0.0014,0.0115,0.0202
,,834.375,0.0263,0.0359,0.0335,0.005,0.0068,0.0064
,,837.5,0.0479,0.1078,0.1126,0.0091,0.0205,0.0214
,,840.625,0.1054,0.0742,0.0599,0.02,0.014,0.0113
,,843.75,0.079,0.1221,0.0263,0.0149,0.023,0.005
,,846.875,0.103,0.0958,0.115,0.0194,0.018,0.0216
,,850,0.0551,0.0575,0.1006,0.0103,0.0108,0.0188
,,853.125,0.1389,0.1485,0.1317,0.0259,0.0277,0.0246
,,856.25,0.2299,0.0934,0.2539,0.0427,0.0174,0.0472
,,859.375,0.012,0.0383,0.0527,0.0022,0.0071,0.0098
,,862.5,0.0551,0.024,0.115,0.0102,0.0044,0.0212
,,865.625,0.0431,0.1078,0.0479,0.0079,0.0198,0.0088
,,868.75,0.0623,0.0838,0.115,0.0114,0.0154,0.0211
,,871.875,0.0335,0.1724,0.0742,0.0061,0.0315,0.0135
,,875,0.1724,0.1461,0.1293,0.0314,0.0266,0.0235
,,878.125,0.0623,0.0838,0.0431,0.0113,0.0152,0.0078
,,881.25,0.0311,0.0862,0.0479,0.0056,0.0156,0.0087
,,884.375,0.0216,0.0814,0.0383,0.0039,0.0146,0.0069
,,887.5,0.1269,0.1964,0.1198,0.0228,0.0352,0.0215
,,890.625,0.0814,0.2132,0.1245,0.0145,0.0381,0.0222
,,893.75,0.1748,0.2371,0.1006,0.0311,0.0422,0.0179
,,896.875,0.1054,0.1102,0.0695,0.0187,0.0196,0.0123
,,900,0.0144,0.0431,0.1389,0.0025,0.0076,0.0246
,,903.125,0.0934,0.0766,0.1317,0.0165,0.0135,0.0232
,,906.25,0.0551,0.103,0.0742,0.0097,0.0181,0.013
,,909.375,0.1557,0.2874,0.1916,0.0272,0.0503,0.0335
,,912.5,0.1724,0.1413,0.2347,0.0301,0.0246,0.0409
,,915.625,0.024,0.0407,0.0527,0.0042,0.0071,0.0092
,,918.75,0.0575,0.1437,0.115,0.01,0.0249,0.0199
,,921.875,0.012,0.2659,0.0958,0.0021,0.0459,0.0165
,,925,0.2587,0.3185,0.2371,0.0445,0.0548,0.0408
,,928.125,0.3569,0.4072,0.3185,0.0612,0.0698,0.0546
,,931.25,0.3545,0.4263,0.364,0.0606,0.0729,0.0622
,,934.375,0.1413,0.2922,0.2036,0.0241,0.0498,0.0347
,,937.5,0.2012,0.1102,0.2754,0.0342,0.0187,0.0468
,,940.625,0.3736,0.4766,0.4287,0.0632,0.0806,0.0725
,,943.75,0.4,0.3042,0.4024,0.0675,0.0513,0.0679
,,946.875,0.2539,0.2611,0.3305,0.0427,0.0439,0.0556
,,950,0.1198,0.079,0.1916,0.0201,0.0132,0.0321
,,953.125,0.2539,0.0766,0.3161,0.0424,0.0128,0.0528
,,956.25,0.2275,0.1437,0.273,0.0379,0.0239,0.0454
,,959.375,0.2706,0.17,0.2587,0.0449,0.0282,0.0429
,,962.5,0.1533,0.2635,0.2227,0.0253,0.0436,0.0368
,,965.625,0.1916,0.2611,0.1581,0.0316,0.043,0.0261
,,968.75,0.0431,0.1581,0.0216,0.0071,0.026,0.0035
